Discriminator Loss,Discriminator Accuracy,Generator Loss
0.6946977376937866,0.5245002508163452,1.2580022811889648
0.7972201704978943,0.3088689148426056,0.7188688516616821
0.6937834620475769,0.4827743172645569,0.6021880507469177
0.6973605155944824,0.5436601042747498,0.6661524772644043
0.6934493780136108,0.5169990658760071,0.7124410271644592
0.6929115056991577,0.4911423623561859,0.7180413603782654
0.6930564641952515,0.4879046678543091,0.699398398399353
0.692540168762207,0.49713370203971863,0.6839727163314819
0.6924840211868286,0.5059963464736938,0.6834454536437988
0.6923844814300537,0.5052640438079834,0.6952070593833923
0.6924241781234741,0.5003215670585632,0.6995465755462646
0.6921160221099854,0.4977729320526123,0.6939433813095093
0.6925328969955444,0.5006096363067627,0.6901035308837891
0.692340612411499,0.5019052028656006,0.6902129650115967
0.6925268173217773,0.5025107264518738,0.6927021741867065
0.6921221017837524,0.5018326044082642,0.6957008242607117
0.6920126676559448,0.4999942481517792,0.6931256055831909
0.6922601461410522,0.5012639164924622,0.6907849907875061
0.6923305988311768,0.5025627613067627,0.6921926736831665
0.6935229897499084,0.5020179152488708,0.6967244148254395
0.6941925287246704,0.4974040687084198,0.6880841851234436
0.6941520571708679,0.5014841556549072,0.691761314868927
0.6928963661193848,0.5018251538276672,0.6971414089202881
0.6919454336166382,0.49853846430778503,0.6883457899093628
0.6913701295852661,0.5044013857841492,0.6997101306915283
0.6902898550033569,0.49970218539237976,0.6949101090431213
0.6900982856750488,0.5029307007789612,0.6991454362869263
0.6900891065597534,0.49988770484924316,0.6867361664772034
0.6901201605796814,0.5073752403259277,0.7145469188690186
0.690239667892456,0.4930565655231476,0.671966016292572
0.6912640333175659,0.5132894515991211,0.7330292463302612
0.6924730539321899,0.4840569794178009,0.6560793519020081
0.6934033632278442,0.5193506479263306,0.7321949005126953
0.693634569644928,0.4827209413051605,0.6677114367485046
0.6939321756362915,0.5112767219543457,0.7047868967056274
0.6938050985336304,0.4962387979030609,0.6992196440696716
0.6942579746246338,0.49602049589157104,0.6828147172927856
0.6944632530212402,0.5050173401832581,0.705178439617157
0.6951796412467957,0.4928685426712036,0.6851332783699036
0.6946536898612976,0.5025863647460938,0.6967508792877197
0.6948582530021667,0.49659717082977295,0.6894103288650513
0.6945251226425171,0.5007675886154175,0.6939886212348938
0.6934640407562256,0.4994274079799652,0.6943029165267944
0.6939128637313843,0.49950000643730164,0.6928551197052002
0.6944174766540527,0.500117301940918,0.6953054666519165
0.6950976848602295,0.49792495369911194,0.6929956674575806
0.6958737373352051,0.4984031319618225,0.6911408305168152
0.6952192187309265,0.49924778938293457,0.6935985088348389
0.69414222240448,0.498550146818161,0.690105140209198
0.693413257598877,0.5010244250297546,0.6939955353736877
0.692306637763977,0.5005743503570557,0.6942520141601562
0.6918522715568542,0.5016842484474182,0.6990378499031067
0.694183886051178,0.4983200132846832,0.6910339593887329
0.6951829195022583,0.5010983347892761,0.7000155448913574
0.696370005607605,0.494843989610672,0.6823753118515015
0.6954717040061951,0.5027039051055908,0.69840407371521
0.6940313577651978,0.497239887714386,0.6900485754013062
0.6944136023521423,0.5008317828178406,0.6927602291107178
0.694534182548523,0.49966487288475037,0.6956917643547058
0.6933636665344238,0.4989338219165802,0.6959084868431091
0.694369912147522,0.4980772137641907,0.6890454292297363
0.6944520473480225,0.50226229429245,0.7040429711341858
0.6947216391563416,0.49292290210723877,0.6748641133308411
0.6943130493164062,0.5087127089500427,0.7156630754470825
0.695758581161499,0.48851922154426575,0.6720123887062073
0.6959035396575928,0.509254515171051,0.7111256122589111
0.6970229148864746,0.4888371229171753,0.6772818565368652
0.6962242722511292,0.5048822164535522,0.6985768675804138
0.6952493190765381,0.4955592751502991,0.6900041699409485
0.6958299875259399,0.500235915184021,0.6908907890319824
